signature,timestamp,from_address,to_address,amount,token_mint,fee,success
4FGkc5DDioJ841CKwVkvmvo8AkqJW4BJHkhN3ijX4botDs5JHbKmaTH1fzysbeR9DJCxzca7NtQV6YedEoJcyhNK,2026-01-01T13:19:25,VYrBWG4fero6c24miz1Epr6hfSHePqRFGSGi9X1oZQf,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,5.217895774,So11111111111111111111111111111111111111112,11700,True
4FGkc5DDioJ841CKwVkvmvo8AkqJW4BJHkhN3ijX4botDs5JHbKmaTH1fzysbeR9DJCxzca7NtQV6YedEoJcyhNK,2026-01-01T13:19:25,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,VYrBWG4fero6c24miz1Epr6hfSHePqRFGSGi9X1oZQf,13257630.725222,ADD8sbMyaXCUzBpad1nqB6TtJuVxk6qs5KZajKTWwkfa,11700,True
4FGkc5DDioJ841CKwVkvmvo8AkqJW4BJHkhN3ijX4botDs5JHbKmaTH1fzysbeR9DJCxzca7NtQV6YedEoJcyhNK,2026-01-01T13:19:25,8uwQ5owjcY4PYjf9eQWtaC1jxfFLRVSHojkLWhERsTyn,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,11996952.886966,ADD8sbMyaXCUzBpad1nqB6TtJuVxk6qs5KZajKTWwkfa,11700,True
4FGkc5DDioJ841CKwVkvmvo8AkqJW4BJHkhN3ijX4botDs5JHbKmaTH1fzysbeR9DJCxzca7NtQV6YedEoJcyhNK,2026-01-01T13:19:25,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,8uwQ5owjcY4PYjf9eQWtaC1jxfFLRVSHojkLWhERsTyn,4.706585725,So11111111111111111111111111111111111111112,11700,True
61ho99NvKV6BHTqtE7mQwWSGXHDjKP5x4aAkm3uDJtScWpmJKDqCnN66S3SxrGj7Q3z6PSFDw1DqbZRZrjdjhUXC,2026-01-01T13:19:25,881u4o89MsxejaFYdr22Aww7yJyFiweTjdVqMsAQYJsf,FaUmC6yGrZW1E6UbtC2tJeqbuiTtJXR1YQoTQEL2yDMD,0.005785263,So11111111111111111111111111111111111111112,5000,True
61ho99NvKV6BHTqtE7mQwWSGXHDjKP5x4aAkm3uDJtScWpmJKDqCnN66S3SxrGj7Q3z6PSFDw1DqbZRZrjdjhUXC,2026-01-01T13:19:25,FaUmC6yGrZW1E6UbtC2tJeqbuiTtJXR1YQoTQEL2yDMD,881u4o89MsxejaFYdr22Aww7yJyFiweTjdVqMsAQYJsf,416.044053,FnAz9oMVJEoSc2QQUGqh2MR7JHCYgkaPtE6M2DXM6oiR,5000,True
61ho99NvKV6BHTqtE7mQwWSGXHDjKP5x4aAkm3uDJtScWpmJKDqCnN66S3SxrGj7Q3z6PSFDw1DqbZRZrjdjhUXC,2026-01-01T13:19:25,FaUmC6yGrZW1E6UbtC2tJeqbuiTtJXR1YQoTQEL2yDMD,62qc2CNXwrYqQScmEdiZFFAnJR262PxWEuNQtxfafNgV,0.207504,FnAz9oMVJEoSc2QQUGqh2MR7JHCYgkaPtE6M2DXM6oiR,5000,True
2ucAU1QqU6FyeRkYY5TvZbnAVHYpzua9QT98xwDrTck2PpnBuiRwwMucgCTFEpcGB4Sy284hD3cNwSMcUresvGtK,2026-01-01T13:19:25,65u7VZ6MrnKQHCnub6pQM5ZGjdeAt6WUjW1Ry281STFm,AKGLJTEPHh45rAvdp8bbCjVTyUYN3VMdCSULKMW7Ur8Z,6.208922451,So11111111111111111111111111111111111111112,12600,True
2ucAU1QqU6FyeRkYY5TvZbnAVHYpzua9QT98xwDrTck2PpnBuiRwwMucgCTFEpcGB4Sy284hD3cNwSMcUresvGtK,2026-01-01T13:19:25,AKGLJTEPHh45rAvdp8bbCjVTyUYN3VMdCSULKMW7Ur8Z,65u7VZ6MrnKQHCnub6pQM5ZGjdeAt6WUjW1Ry281STFm,14655256.807358,AGocN1qW1pAiznrcCWTwJ2vHA4nuRrq57a5U8WmrpVzr,12600,True
2ucAU1QqU6FyeRkYY5TvZbnAVHYpzua9QT98xwDrTck2PpnBuiRwwMucgCTFEpcGB4Sy284hD3cNwSMcUresvGtK,2026-01-01T13:19:25,AKGLJTEPHh45rAvdp8bbCjVTyUYN3VMdCSULKMW7Ur8Z,JCRGumoE9Qi5BBgULTgdgTLjSgkCMSbF62ZZfGs84JeU,7349.677436,AGocN1qW1pAiznrcCWTwJ2vHA4nuRrq57a5U8WmrpVzr,12600,True
